subject,title,homepage,issued,isbn,booktitle,publisher,series
http://localhost/publications/procs/Proceeding1/1950,Proceeding 1 (1950),http://www.tailpipe.tld/summerhouses/vialing.html,1950,0-8755-5472-0,,American Academy of Arts and Sciences,
http://localhost/publications/procs/Proceeding1/1951,Proceeding 1 (1951),,1951,0-9502-9347-0,seafloor jowliest psalmody,Oliver Books,1998
http://localhost/publications/procs/Proceeding1/1952,Proceeding 1 (1952),http://www.hydrators.tld/disencumbering/sniffling.html,1952,0-5298-8814-0,megacycle hydrators anchorages,UB & US Books & Things,1046
http://localhost/publications/procs/Proceeding1/1953,Proceeding 1 (1953),http://www.gipsy.tld/males/tatterdemalion.html,1953,,dichotic gipsy scorepad,Pluto Press Ltd,1961
http://localhost/publications/procs/Proceeding1/1954,Proceeding 1 (1954),http://www.atmans.tld/retained/lyre.html,1954,0-8517-1633-0,swaggered atmans saviors,Taigh na Teud,1910
http://localhost/publications/procs/Proceeding1/1955,Proceeding 1 (1955),http://www.dips.tld/agaves/owns.html,1955,0-3721-4662-0,hoking dips plaques,Oceana Publications,1088
http://localhost/publications/procs/Proceeding1/1956,Proceeding 1 (1956),http://www.mewler.tld/primed/barkeepers.html,1956,0-3601-6693-0,publics mewler wets,Open University Press,1057
http://localhost/publications/procs/Proceeding1/1957,Proceeding 1 (1957),http://www.akvavit.tld/exited/snowbushes.html,1957,0-6918-7434-0,outvoting akvavit obtaining,Twin Press,1842
http://localhost/publications/procs/Proceeding1/1958,Proceeding 1 (1958),http://www.ormolu.tld/slimed/roughhewed.html,1958,0-3744-5670-0,psychosexual ormolu restrictionist,Baltzer Science Publishers,1655
http://localhost/publications/procs/Proceeding2/1958,Proceeding 2 (1958),http://www.lilacs.tld/unrest/dojos.html,1958,0-2511-7339-0,bowyer lilacs feminize,"Williams & Wilkins, Medical Publishers",1318
http://localhost/publications/procs/Proceeding1/1959,Proceeding 1 (1959),http://www.moodier.tld/appeasing/rapaciousness.html,1959,0-7288-9158-0,backstay moodier redistributed,Jason Aronson Publishers,1861
http://localhost/publications/procs/Proceeding2/1959,Proceeding 2 (1959),http://www.embraces.tld/intercultural/brambly.html,1959,0-6945-8935-0,impertinently embraces parser,Manaaki Whenua Press,1553
http://localhost/publications/procs/Proceeding1/1960,Proceeding 1 (1960),http://www.overmodify.tld/coheir/spectators.html,1960,0-6339-9782-0,tackles overmodify franking,American Institute of Physics Press,
http://localhost/publications/procs/Proceeding2/1960,Proceeding 2 (1960),http://www.hirelings.tld/courtyards/abandons.html,1960,0-7762-6734-0,totalling hirelings reliquidation,Van Nostrand Reinhold,1805
http://localhost/publications/procs/Proceeding1/1961,Proceeding 1 (1961),http://www.admonished.tld/blowholes/lulling.html,1961,0-5995-9252-0,watercresses admonished slaughters,Butterworth-Heinemann,1341
http://localhost/publications/procs/Proceeding2/1961,Proceeding 2 (1961),http://www.gemologies.tld/overhears/pretends.html,1961,0-4385-9662-0,paunchier gemologies dimmers,Resolution Business Press,1706
http://localhost/publications/procs/Proceeding3/1961,Proceeding 3 (1961),http://www.barracking.tld/sodomite/evangelicals.html,1961,0-3464-5923-0,passovers barracking nips,Cold Spring Harbor Laboratory Press,
http://localhost/publications/procs/Proceeding1/1962,Proceeding 1 (1962),http://www.thermometers.tld/shacking/reduplicative.html,1962,0-2833-4973-0,reburials thermometers painty,Jason Aronson Publishers,
http://localhost/publications/procs/Proceeding2/1962,Proceeding 2 (1962),http://www.hemostat.tld/midways/gives.html,1962,0-1429-9787-0,prenticing hemostat falsifies,Micro Focus Publishing,
http://localhost/publications/procs/Proceeding3/1962,Proceeding 3 (1962),http://www.portraying.tld/microbiology/negativity.html,1962,0-7136-1821-0,knowing portraying soilless,Quantum Books,1088
http://localhost/publications/procs/Proceeding1/1963,Proceeding 1 (1963),http://www.smirks.tld/charmingly/pendently.html,1963,0-1488-6823-0,blabby smirks spotted,Butterworth Legal Publishers,1855
http://localhost/publications/procs/Proceeding2/1963,Proceeding 2 (1963),http://www.syndication.tld/shakeouts/peddlar.html,1963,0-3719-4020-0,estimators syndication mismanagement,Sybex,
http://localhost/publications/procs/Proceeding3/1963,Proceeding 3 (1963),http://www.soundproofs.tld/counterrevolution/faithlessly.html,1963,0-3718-4026-0,fining soundproofs paces,State University of New York Press,1865
http://localhost/publications/procs/Proceeding1/1964,Proceeding 1 (1964),http://www.feyest.tld/embouchures/urbanizing.html,1964,0-4854-5737-0,reexhibit feyest looting,Virtual Press,1762
http://localhost/publications/procs/Proceeding2/1964,Proceeding 2 (1964),http://www.safeties.tld/hyperbolically/unlatches.html,1964,0-1689-2407-0,denounces safeties renotifying,Math-Pro Press,1537
http://localhost/publications/procs/Proceeding3/1964,Proceeding 3 (1964),http://www.cares.tld/sentimentalization/confiscation.html,1964,0-1452-5933-0,obscurities cares tinkling,BIOS Scientific Press,
http://localhost/publications/procs/Proceeding4/1964,Proceeding 4 (1964),http://www.dripper.tld/uncertified/kiltie.html,1964,0-5743-3312-0,repined dripper zwiebacks,ME Sharpe,1231
http://localhost/publications/procs/Proceeding1/1965,Proceeding 1 (1965),http://www.concaving.tld/cusswords/converts.html,1965,0-6816-8398-0,bangs concaving unfelt,Sybex,1755
http://localhost/publications/procs/Proceeding2/1965,Proceeding 2 (1965),http://www.zymolysis.tld/ampuls/caddying.html,1965,0-8520-5921-0,pouting zymolysis ligated,"Business Communications Company, Inc.",1486
http://localhost/publications/procs/Proceeding3/1965,Proceeding 3 (1965),http://www.adornment.tld/warehouses/churchyards.html,1965,0-8416-4759-0,perfectibility adornment copulations,Butterworth-Heinemann,
http://localhost/publications/procs/Proceeding4/1965,Proceeding 4 (1965),http://www.appointer.tld/ruminating/pryingly.html,1965,0-4473-8124-0,exobiology appointer aviso,McGraw-Hill,
http://localhost/publications/procs/Proceeding1/1966,Proceeding 1 (1966),http://www.fauvist.tld/hyphened/mortalities.html,1966,0-8664-4856-0,semicolons fauvist startled,UCL Press,1675
http://localhost/publications/procs/Proceeding2/1966,Proceeding 2 (1966),http://www.tippier.tld/immixing/modifiers.html,1966,,cases tippier fascias,MIT Press,
http://localhost/publications/procs/Proceeding3/1966,Proceeding 3 (1966),http://www.fesse.tld/bedroll/solacer.html,1966,0-5344-4745-0,simplistically fesse fortieths,McGraw-Hill,1042
http://localhost/publications/procs/Proceeding4/1966,Proceeding 4 (1966),http://www.cathouse.tld/truancies/illuminator.html,1966,0-4734-1378-0,gimmicky cathouse wotted,"Springer-Verlag, Germany and New York",1280
http://localhost/publications/procs/Proceeding5/1966,Proceeding 5 (1966),http://www.viced.tld/pederastically/inquisitors.html,1966,0-9885-6038-0,localites viced religiously,Books That Work,
http://localhost/publications/procs/Proceeding1/1967,Proceeding 1 (1967),http://www.frat.tld/outre/wises.html,1967,0-9170-5758-0,sayst frat gloving,Open University Press,1123
http://localhost/publications/procs/Proceeding2/1967,Proceeding 2 (1967),http://www.shutter.tld/endoscopies/retouched.html,1967,0-2515-2020-0,grownups shutter glinted,University of South Carolina Press,1023
http://localhost/publications/procs/Proceeding3/1967,Proceeding 3 (1967),http://www.stumbler.tld/interplanetary/fireless.html,1967,0-9746-1086-0,,West Publishing Company,1866
http://localhost/publications/procs/Proceeding4/1967,Proceeding 4 (1967),http://www.hayers.tld/piroshki/fondants.html,1967,0-4960-7546-0,quadruplications hayers reverberated,Cold Spring Harbor Laboratory Press,1729
http://localhost/publications/procs/Proceeding5/1967,Proceeding 5 (1967),http://www.tenpins.tld/weighmaster/peregrins.html,1967,0-8853-8013-0,tackey tenpins recalcitrance,Pluto Press Ltd,1282
http://localhost/publications/procs/Proceeding6/1967,Proceeding 6 (1967),http://www.hulked.tld/vigilantly/unsnarls.html,1967,0-1197-3640-0,couchant hulked nourisher,"Miller Freeman, Inc.",
http://localhost/publications/procs/Proceeding1/1968,Proceeding 1 (1968),http://www.boyo.tld/recalibrates/soporifically.html,1968,0-4346-2643-0,shortcuts boyo conspiringly,Oceana Publications,1177
http://localhost/publications/procs/Proceeding2/1968,Proceeding 2 (1968),http://www.integrates.tld/saponine/sooners.html,1968,0-9434-9289-0,turnups integrates uneated,Prentice Hall,
http://localhost/publications/procs/Proceeding3/1968,Proceeding 3 (1968),http://www.praises.tld/siphonage/evidence.html,1968,0-5743-9284-0,coverer praises inveiglement,Chemical Abstracts Service,
http://localhost/publications/procs/Proceeding4/1968,Proceeding 4 (1968),http://www.vermicelli.tld/pschent/barkless.html,1968,0-9393-6187-0,,Books That Work,1478
http://localhost/publications/procs/Proceeding5/1968,Proceeding 5 (1968),http://www.uteri.tld/spangling/backpacks.html,1968,0-6888-3434-0,sailboats uteri taxonomists,Butterworth-Heinemann,1629
http://localhost/publications/procs/Proceeding6/1968,Proceeding 6 (1968),http://www.briticism.tld/overinsured/fording.html,1968,,rinsers briticism reelecting,Motorola University Press,
http://localhost/publications/procs/Proceeding7/1968,Proceeding 7 (1968),http://www.eliminations.tld/conventioneer/vacillator.html,1968,0-6667-6302-0,nonpoisonous eliminations curlicued,,1048
http://localhost/publications/procs/Proceeding1/1969,Proceeding 1 (1969),http://www.interjected.tld/frostbit/amicably.html,1969,,intercalating interjected weaners,Circlet Press,
http://localhost/publications/procs/Proceeding2/1969,Proceeding 2 (1969),http://www.abbots.tld/lives/urgers.html,1969,0-4031-6301-0,sailing abbots openable,Books That Work,
http://localhost/publications/procs/Proceeding3/1969,Proceeding 3 (1969),http://www.metring.tld/rarefies/exists.html,1969,0-5234-4228-0,constellation metring ulnae,Butterworths,
http://localhost/publications/procs/Proceeding4/1969,Proceeding 4 (1969),http://www.expiation.tld/crimpy/weaklier.html,1969,0-7098-2892-0,housemaids expiation overshadowing,Princeton University Press,1992
http://localhost/publications/procs/Proceeding5/1969,Proceeding 5 (1969),http://www.clayey.tld/otologically/nonalignment.html,1969,0-7515-9951-0,prongs clayey unbeaten,"Miller Freeman, Inc.",
http://localhost/publications/procs/Proceeding6/1969,Proceeding 6 (1969),http://www.wildcard.tld/seafarers/omnisciently.html,1969,0-2890-1015-0,barhopping wildcard herdman,Jason Aronson Publishers,
http://localhost/publications/procs/Proceeding7/1969,Proceeding 7 (1969),http://www.sufflated.tld/tai/razzed.html,1969,0-4393-5605-0,villeinage sufflated demander,Jason Aronson Publishers,
http://localhost/publications/procs/Proceeding8/1969,Proceeding 8 (1969),http://www.seeps.tld/prejudges/visualize.html,1969,0-3911-1897-0,scandalizes seeps cosmologists,"Miller Freeman, Inc.",1182
http://localhost/publications/procs/Proceeding1/1970,Proceeding 1 (1970),http://www.centuple.tld/pathogenically/modulates.html,1970,0-3913-2832-0,gilds centuple disproportionately,Wiley,
http://localhost/publications/procs/Proceeding2/1970,Proceeding 2 (1970),http://www.intrench.tld/skyscraper/convalescence.html,1970,0-5959-3328-0,porks intrench fantastically,Addison Wesley,1108
http://localhost/publications/procs/Proceeding3/1970,Proceeding 3 (1970),http://www.mistrustingly.tld/pleuritis/stranger.html,1970,0-1001-7458-0,nonlinear mistrustingly upkeeps,American Institute of Physics Press,
http://localhost/publications/procs/Proceeding4/1970,Proceeding 4 (1970),http://www.retest.tld/traditionalize/creasier.html,1970,0-4356-8028-0,soothsays retest sinfonia,Van Nostrand Reinhold,1025
http://localhost/publications/procs/Proceeding5/1970,Proceeding 5 (1970),http://www.rheological.tld/schlep/departmentalized.html,1970,0-1423-1584-0,outargue rheological fibbed,Oliver Books,1765
http://localhost/publications/procs/Proceeding6/1970,Proceeding 6 (1970),http://www.shawn.tld/disqualifying/jehad.html,1970,0-2296-2211-0,signifying shawn andesyte,Motorola University Press,1897
http://localhost/publications/procs/Proceeding7/1970,Proceeding 7 (1970),http://www.protestations.tld/dispatcher/formulation.html,1970,0-3175-5596-0,renunciation protestations machrees,Manchester University Press,1903
http://localhost/publications/procs/Proceeding8/1970,Proceeding 8 (1970),http://www.otoscopies.tld/plunders/playfully.html,1970,0-6871-2741-0,phoning otoscopies nasalities,American Chemical Society,1457
http://localhost/publications/procs/Proceeding9/1970,Proceeding 9 (1970),http://www.observatories.tld/nonresistants/disposes.html,1970,0-7439-6074-0,squibs observatories digitalizing,"Springer-Verlag, Germany and New York",
http://localhost/publications/procs/Proceeding1/1971,Proceeding 1 (1971),http://www.kitchenware.tld/gabbier/fitnesses.html,1971,0-5604-1567-0,favorably kitchenware subsidiaries,Unisa Press,1410
http://localhost/publications/procs/Proceeding2/1971,Proceeding 2 (1971),http://www.presuppositions.tld/brahmins/membranously.html,1971,0-4531-9123-0,braceros presuppositions heelpost,Jason Aronson Publishers,
http://localhost/publications/procs/Proceeding3/1971,Proceeding 3 (1971),http://www.longrun.tld/monologuist/nonresistant.html,1971,0-1089-5857-0,cooperated longrun veldts,CD Publishing Corporation,1386
http://localhost/publications/procs/Proceeding4/1971,Proceeding 4 (1971),http://www.cornmeals.tld/reapply/nittier.html,1971,,,Books That Work,
http://localhost/publications/procs/Proceeding5/1971,Proceeding 5 (1971),http://www.immortally.tld/censurers/accordionists.html,1971,0-3831-9853-0,xylan immortally harmonizes,Lonely Planet Books,1457
http://localhost/publications/procs/Proceeding6/1971,Proceeding 6 (1971),http://www.worthiness.tld/elasticizes/unmingled.html,1971,0-7937-4753-0,humpbacked worthiness dwellings,ME Sharpe,1861
http://localhost/publications/procs/Proceeding7/1971,Proceeding 7 (1971),http://www.laciness.tld/fidgeted/ragged.html,1971,0-3296-3042-0,mise laciness youngers,Addison Wesley,1302
http://localhost/publications/procs/Proceeding8/1971,Proceeding 8 (1971),http://www.handballs.tld/varier/beatable.html,1971,0-5227-9105-0,dismantling handballs earthsets,Viking Penguin,1438
http://localhost/publications/procs/Proceeding9/1971,Proceeding 9 (1971),http://www.palest.tld/uninformed/gonfalons.html,1971,0-9892-8076-0,,Circlet Press,
http://localhost/publications/procs/Proceeding10/1971,Proceeding 10 (1971),http://www.ensorcel.tld/proliferous/motility.html,1971,0-8212-8678-0,clitoridectomies ensorcel aesthesia,"Random House, Inc.",1273
http://localhost/publications/procs/Proceeding1/1972,Proceeding 1 (1972),http://www.reassesses.tld/humanisms/exotics.html,1972,0-8047-5784-0,contingence reassesses demerited,Resolution Business Press,1000
http://localhost/publications/procs/Proceeding2/1972,Proceeding 2 (1972),http://www.bondmen.tld/grouched/remaindered.html,1972,0-4148-3108-0,flameouts bondmen slews,Manaaki Whenua Press,1944
http://localhost/publications/procs/Proceeding3/1972,Proceeding 3 (1972),http://www.decomposing.tld/mangles/passably.html,1972,0-3830-4180-0,forgetfully decomposing cantankerousness,Morgan Kaufmann Publishers,
http://localhost/publications/procs/Proceeding4/1972,Proceeding 4 (1972),http://www.halos.tld/balsas/charging.html,1972,0-9552-8396-0,radiobiologic halos queerest,Butterworth-Heinemann,1136
http://localhost/publications/procs/Proceeding5/1972,Proceeding 5 (1972),http://www.syringed.tld/bronchoscopy/omissive.html,1972,0-8993-9222-0,apprehensible syringed layoffs,Oliver Books,1037
